timestamp\y, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, Net X Velocity, Net Y Velocity
22.0000, 2, 5, 5, 7, 10, 7, 10, 7, 8, 7, 5, 9, 7, 5, 10, 7, 8, 7, 11, 10, 7, 8, 10, 8, 7, 7, 3, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.134177, 0.250349
23.0000, 2, 6, 7, 7, 6, 8, 8, 7, 7, 7, 6, 5, 8, 9, 6, 10, 8, 9, 10, 9, 8, 9, 10, 9, 7, 4, 4, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.039345, 0.117662
24.0000, 5, 4, 7, 7, 7, 7, 6, 8, 7, 7, 5, 8, 6, 10, 6, 8, 9, 5, 12, 9, 6, 13, 7, 7, 9, 4, 5, 3, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.069154, 0.002290
25.0000, 6, 6, 5, 9, 7, 6, 7, 8, 5, 6, 5, 8, 7, 8, 6, 10, 7, 7, 9, 10, 6, 10, 8, 8, 9, 5, 4, 3, 3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.066204, -0.047557
26.0000, 6, 8, 6, 6, 7, 7, 8, 7, 6, 6, 5, 8, 8, 8, 6, 8, 8, 7, 11, 7, 6, 9, 8, 8, 8, 4, 5, 3, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.147669, -0.188943
27.0000, 8, 7, 3, 8, 6, 7, 8, 7, 5, 7, 7, 7, 7, 10, 7, 9, 6, 8, 7, 11, 4, 10, 8, 8, 8, 4, 5, 3, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.366829, 0.069651
28.0000, 7, 7, 4, 6, 9, 3, 7, 7, 7, 7, 6, 8, 5, 8, 8, 10, 7, 7, 12, 10, 8, 7, 11, 4, 7, 6, 3, 4, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.022798, 0.241754
29.0000, 4, 8, 4, 5, 7, 7, 7, 8, 5, 6, 6, 7, 6, 8, 9, 8, 7, 9, 9, 10, 7, 10, 9, 7, 8, 5, 5, 5, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.020566, 0.482223
30.0000, 1, 6, 7, 5, 5, 8, 5, 9, 6, 6, 10, 3, 7, 8, 8, 9, 7, 8, 8, 9, 9, 10, 9, 8, 5, 9, 5, 3, 4, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.043070, 0.497704
31.0000, 3, 5, 6, 4, 6, 7, 5, 7, 7, 4, 7, 7, 7, 6, 9, 9, 7, 8, 11, 6, 9, 7, 10, 8, 8, 8, 5, 4, 4, 4, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.006594, 0.269343
